pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_INFLAMMATORY_RESPONSE,1.1275228323373548e-4,0.0020830729492146813,-0.653804803080282,-1.816829358346898,0,197,,BMS,BMS_vs_DMSO
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.1355893708834885e-4,0.0020830729492146813,-0.7087785871623618,-1.9601074102426974,0,185,,BMS,BMS_vs_DMSO
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.2498437695288088e-4,0.0020830729492146813,-0.8001235474767847,-2.068381479956855,0,93,,BMS,BMS_vs_DMSO
HALLMARK_G2M_CHECKPOINT,2.2550456646747095e-4,0.0022552999548940008,-0.5825894798433586,-1.6180719065929285,1,195,,BMS,BMS_vs_DMSO
HALLMARK_E2F_TARGETS,2.255299954894001e-4,0.0022552999548940008,-0.6128958377573175,-1.703400678972141,1,198,,BMS,BMS_vs_DMSO
HALLMARK_ESTROGEN_RESPONSE_EARLY,5.637614161686774e-4,0.004698011801405645,-0.553330384278597,-1.536808303002991,4,195,,BMS,BMS_vs_DMSO
HALLMARK_IL6_JAK_STAT3_SIGNALING,8.882121558177896e-4,0.0055513259738611855,-0.6402243094607157,-1.6388042450858247,6,85,,BMS,BMS_vs_DMSO
HALLMARK_MTORC1_SIGNALING,0.003050158156348848,0.011731377524418645,-0.5270200004243863,-1.4618521415790995,26,193,,BMS,BMS_vs_DMSO
HALLMARK_IL2_STAT5_SIGNALING,0.002819124943617501,0.011731377524418645,-0.5263600461918768,-1.462894679376285,24,198,,BMS,BMS_vs_DMSO
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.002593302514375916,0.011731377524418645,-0.527860813828245,-1.4660696476640986,22,195,,BMS,BMS_vs_DMSO
HALLMARK_ALLOGRAFT_REJECTION,0.0028389734272087214,0.011731377524418645,-0.5338333776572568,-1.4763013137432475,24,185,,BMS,BMS_vs_DMSO
HALLMARK_MYC_TARGETS_V2,0.003990953837967274,0.014253406564168836,-0.6579061281854697,-1.5989926613329588,29,57,,BMS,BMS_vs_DMSO
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0062132851333032086,0.02071095044434403,-0.5129041069383867,-1.4226973673652286,54,193,,BMS,BMS_vs_DMSO
HALLMARK_APICAL_SURFACE,0.013927576601671309,0.04352367688022284,-0.6498250332401402,-1.5161146321743346,99,44,,BMS,BMS_vs_DMSO
