"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"1","HALLMARK_INFLAMMATORY_RESPONSE",0.000112752283233735,0.00208307294921468,-0.653804803080282,-1.8168293583469,0,197,"Bdkrb1, Tacr1, Nmi, Bst2, Tlr3, Il7r, Tnfrsf9, Eif2ak2, Ptger2, Slc1a2, Ereg, Ldlr, Slc7a1, Inhba, Cxcl10, Rtp4, Rnf144b, Kcnj2, Irf7, Lif, Calcrl, P2rx7, Il18, Tnfsf15, Itgb8, Sphk1, Tnfaip6, Ly6e, Has2, Tapbp, Adm, Pdpn, Mefv, Ccrl2, Ndp, Irf1, Nfkb1, Acvr1b, Cdkn1a, Il15ra, Ccl22, Itgb3, Klf6, Tnfsf9, Nlrp3, Ifitm1, Serpine1, Mmp14, Irak2, Cxcl5, Rgs1, P2rx4, Tlr1, C3ar1, Il1b, Scarf1, Il6, Ptpre, Tnfsf10, Raf1, Clec5a, Rgs16, Olr1, Msr1, Pde4b, Lpar1, Nampt, Sgms2, Gpr183, Csf3r, Itga5, Atp2a2, Pvr, Il4ra, Osm, Ffar2, Plaur, Adora2b, Cd82, P2ry2, Hif1a, Cd48, Gna15, Il1a, Sema4d, Rela, Ccl7, Cxcl11, F3","BMS","BMS_vs_DMSO"
"2","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000113558937088349,0.00208307294921468,-0.708778587162362,-1.9601074102427,0,185,"Xaf1, Nmi, Parp12, Gbp3, Nlrc5, Rnf213, Samd9l, Dhx58, Bst2, Ifi27, Usp18, Ddx60, Irf9, Herc6, Mx2, Helz2, Ifih1, Stat1, Psmb10, Eif2ak2, Tap1, Ube2l6, Psmb8, Zbp1, Isg15, Plscr1, Oas2, Trim21, Ifitm3, Adar, Cxcl10, Rtp4, Casp8, Irf7, Apol6, Pml, Sspn, Trim14, Lgals3bp, Ifi35, Cmpk2, Ifi44, Isg20, Tnfaip3, Oasl1, Tnfaip6, Epsti1, Parp14, B2m, Ly6e, Pnpt1, Rnf31, Tapbp, Vcam1, P2ry14, Nod1, Psme1, Samhd1, Ptgs2, Irf1, Nfkb1, Arid5b, Cdkn1a, Il15ra, Stat2, Pfkp, Mthfd2, Upp1, Psmb9, Znfx1, Rbck1, Socs3, Tdrd7, Batf2, Il6, Tnfsf10, Cd38, Oas3, Cd274, Myd88, Pde4b, Mvp, Ifit3, Nampt, Ifnar2","BMS","BMS_vs_DMSO"
"3","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000124984376952881,0.00208307294921468,-0.800123547476785,-2.06838147995686,0,93,"Nmi, Parp12, Gbp3, Samd9l, Parp9, Dhx58, Bst2, Ifi27, Usp18, Ddx60, Irf9, Mov10, Herc6, Mx2, Helz2, Ifih1, Eif2ak2, Tap1, Ube2l6, Psmb8, Isg15, Plscr1, Tent5a, Trim21, Ifitm3, Adar, Cxcl10, Rtp4, Casp8, Irf7, Trim14, Lgals3bp, Ifi35, Uba7, Cmpk2, Trim12c, Ifi44, Isg20, Oasl1, Epsti1, Parp14, B2m, Ly6e, Pnpt1, Rnf31, Psme1, Ccrl2, Irf1","BMS","BMS_vs_DMSO"
"4","HALLMARK_G2M_CHECKPOINT",0.000225504566467471,0.002255299954894,-0.582589479843359,-1.61807190659293,1,195,"Ccnd1, Ube2c, Mcm3, Slc7a1, Tle3, E2f2, Hmga1b, Atf5, Pml, Mybl2, Cdc25b, Racgap1, Cenpa, Traip, Chaf1a, Lmnb1, Espl1, Ccnb2, Mcm2, Plk1, Cdc45, Aurka, Tpx2, Plk4, Smc2, Mcm5, Prc1, Mcm6, Incenp, Top2a, Cdc20, Tmpo, Cks2, Cdk1, Kif11, Pbk, Ccna2, Rad54l, Polq, G3bp1, Hmmr, Cdc25a, Kif22, Troap, Kif2c, Kpnb1, Cdc6, Dkc1, Map3k20, Ccnf, Pole, Exo1, Mki67, Numa1, Rad21, Odf2, Lig3, Brca2, Aurkb, Tacc3, Slc38a1, Rpa2, Kif4, Nek2, E2f1, Cdkn2c, Nsd2, Stag1, Gspt1, Pds5b, Nusap1, Cdkn3, Sfpq, Tent4a, Cenpe, Lbr, Nolc1, Kif20b, Hus1, Bcl3, Nasp, Snrpd1, Chek1, Xpo1, Bub1, Kif23, Rad23b, Cdc27, Hif1a, Smc4, Bard1, Ddx39a, Abl1, Ss18, Pola2, Mad2l1, Smarcc1, Rbl1, Kif15, Notch2","BMS","BMS_vs_DMSO"
"5","HALLMARK_E2F_TARGETS",0.0002255299954894,0.002255299954894,-0.612895837757317,-1.70340067897214,1,198,"Shmt1, Mcm3, Hmga1b, Mybl2, Cdc25b, Racgap1, Lmnb1, Espl1, Ccnb2, Tk1, Cit, Mcm2, Plk1, Mcm4, Lig1, Aurka, Ncapd2, Brca1, Dlgap5, Plk4, Mcm5, Pold3, Mcm6, Hells, Top2a, Cdc20, Spc24, Melk, Tmpo, Cks2, Cdk1, Bub1b, Pold1, Trip13, Ssrp1, Cdkn1a, Cdca8, Atad2, Cbx5, Hmmr, Cdc25a, Diaph3, Tubb5, Ak2, Kif22, Mthfd2, Usp1, Wee1, Kif2c, Rad51ap1, Mre11a, Pold2, Ubr7, Kif18b, Pole, Spag5, Mki67, Rad21, Brca2, Aurkb, Nup107, Tacc3, Rpa2, Tbrg4, Kif4, E2f8, Asf1b, Pa2g4, Cdkn2c, Stag1, Gspt1, Nap1l1, Pds5b, Mcm7, Cdkn3, Paics, Dut, Cenpe, Dnmt1, Phf5a, Lbr, Anp32e, Rfc1, Prps1, Nolc1, Dclre1b, Hus1, Nasp, Chek1, Xpo1, Exosc8, Ung, Smc4, Pcna, Bard1, Ccne1, Rfc2, Ddx39a, Nup205, Depdc1a, Pola2, Mad2l1, Lyar, Psmc3ip, Timeless, Mms22l, Rpa1, Snrpb, Dscc1, Cdkn1b, Pms2, Rad50, Birc5, Wdr90, Nup153, Ran, Ipo7","BMS","BMS_vs_DMSO"
"6","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.000563761416168677,0.00469801180140565,-0.553330384278597,-1.53680830300299,4,195,"Thsd4, Car12, Ablim1, Ccnd1, Cyp26b1, Adcy1, Syt12, Celsr2, Tsku, Gja1, Stc2, Myb, Pdlim3, Greb1, Inhbb, Endod1, Svil, Slc27a2, Olfml3, Hes1, Celsr1, Slc26a2, Ugcg, Wwc1, Hr, Krt19, Bhlhe40, Farp1, Tiam1, B4galt1, Dlc1, Slc2a1, Nav2, Ccn5, Sec14l2, Mybbp1a, Syngr1, Calb2, Slc39a6, Gla, Mast4, Slc24a3, Tmem164, Mindy1, Ptges, Frk, Fdft1, Aldh3b1, Igf1r, Cxcl12, Papss2, Prss23, Rrp12, Slc1a1, Dhrs3, Sybu, Gab2, Cish, Xbp1, Pgr, Muc1, Med24, Mpped2, Anxa9, Fkbp4, Fhl2, Gfra1, Kcnk5, Rara, Tpd52l1, P2ry2, Ttc39a, Myof, Pmaip1, Slc16a1","BMS","BMS_vs_DMSO"
"7","HALLMARK_MYOGENESIS",0.000881834215167548,0.00555132597386119,0.525535590420632,1.78110924105936,0,198,"Actn2, Eno3, Myom1, Sh3bgr, Pygm, Fabp3, Mylpf, Casq1, Pgam2, Tnnt3, Des, Csrp3, Tnni2, Atp2a1, Fhl1, Actn3, Casq2, Tpm2, Pfkm, Tcap, Acta1, Mapre3, Pvalb, Ldb3, Agl, Ryr1, Gabarapl2, Ckb, Cacng1, Myh4, Myl4, Myf6, Chrnb1, Cryab, Pkia, Sgcg, Sptan1, Ppp1r3c, Myh3, Actc1, Myl1, Tsc2, Myog, Sh2b1, Foxo4, Sgca, Dmpk, Myh8, Ocel1, Eif4a2, Tnni1, Cox6a2, Reep1, Schip1, Myh1, Bag1, Lpin1, Ckm, Mybph, Tead4, Chrna1, Hrc, Dmd, Slc6a8","BMS","BMS_vs_DMSO"
"8","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00088821215581779,0.00555132597386119,-0.640224309460716,-1.63880424508582,6,85,"Irf9, Stat1, Cxcl10, Bak1, Ltbr, Cntfr, Il17ra, Itga4, Irf1, Acvr1b, Il15ra, Stat2, Itgb3, Acvrl1, Csf2ra, Il2rg, Socs3, Il1b, Tnfrsf1a, Il6, Cbl, Cd38, Myd88, Ccr1, Csf3r, Il4ra, Tyk2, Il13ra1, Stat3, Socs1, Hax1, Ccl7, Cxcl11, Il6st, Tlr2, Cd14, Ifngr2, Ebi3, Ptpn11, Csf1, Il3ra, Osmr, Cd44, Il10rb, Il2ra, Crlf2, Il1r1, Pdgfc, Il1r2, Hmox1, Fas, Pf4, Cd36, Tnfrsf1b","BMS","BMS_vs_DMSO"
"9","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00163800163800164,0.0091000091000091,0.453285121225525,1.52360802736767,1,183,"Slc25a4, Aldh6a1, Cox7b, Ndufb2, Mgst3, Atp1b1, Ogdh, Pdk4, Uqcr11, Slc25a11, Ndufa1, Etfa, Hadhb, Cox6a1, Acadm, Pdhb, AK157302, Iscu, Etfdh, Ndufa7, Acadvl, Cox5a, Mdh2, Ndufa4, Pdp1, Slc25a12, Uqcr10, Vdac3, Uqcrb, Idh1, Ldhb, Uqcrh, Atp5pb, Cox7a2l, Cox7c, Fdx1, Ndufs4, Cox4i1, Mpc1, Cyc1, Sdhc, Slc25a3, Idh3a, Atp6v0c, Ndufa6, Atp6v1f, Ndufv2, Cox6c, Alas1, Acat1, Ndufab1, Ndufs6, Mrps12, Suclg1, Atp6v1d, Rhot1, Ndufc1, Fxn, Hadha, Ndufa2, Fh1, Idh3g, Atp6v0e, Tomm22, Atp6v1g1, Ndufc2, Sucla2, Ndufa8, Uqcrfs1, Rhot2, Cox7a2, Ndufb6, Ndufb3, Atp6v0b, Cs, Ndufs1, Aco2, Mdh1, Hsd17b10, Ndufa5, Slc25a5","BMS","BMS_vs_DMSO"
"10","HALLMARK_MTORC1_SIGNALING",0.00305015815634885,0.0117313775244186,-0.527020000424386,-1.4618521415791,26,193,"Slc7a11, Igfbp5, Vldlr, Bcat1, Hk2, Ldlr, Tmem97, Slc2a3, Stard4, Ak4, Cxcr4, Me1, Asns, Mcm2, Plk1, Mcm4, Elovl6, Aurka, Hmgcs1, Bhlhe40, Phgdh, Shmt2, Dhcr24, Gsr, Sla, Hspa9, Fads2, Slc1a5, Cyp51, Slc2a1, Hmgcr, Serpinh1, Cdkn1a, Hsp90b1, Gla, Cdc25a, Canx, Mthfd2, Nupr1, Idi1, Plod2, Ccnf, Gpi1, Psph, Cth, Ldha, Nfkbib, Stc1, Tpi1, Eno1b, Dhfr, Nampt, Xbp1, Psmc2, Atp2a2, Tomm40, Psat1, Rdh11, Pnp, Cfp, Pgk1, Ero1a, Pdk1, Pno1, P4ha1, Ctsc, Bub1, Dapp1, Cct6a, Acaca, Tes, Ung, Sytl2, Ufm1, Psmd14, Ddx39a, Nup205, Rrp9, Trib3, Edem1, Fgl2, Rpn1, Eef1e1, Tbk1, Pitpnb, Psme3, Hspd1","BMS","BMS_vs_DMSO"
"11","HALLMARK_IL2_STAT5_SIGNALING",0.0028191249436175,0.0117313775244186,-0.526360046191877,-1.46289467937628,24,198,"Gbp3, Fah, Bmp2, Tnfrsf9, Ptger2, Ccnd2, Hk2, Ncs1, Plscr1, Ifitm3, Cxcl10, Lif, Lrrc8c, Slc2a3, Plagl1, Itga6, Pus1, Spred2, Socs2, Slc39a8, Ckap4, Bhlhe40, Map6, Tiam1, Slc1a5, Hipk2, Ndrg1, Emp1, Flt3l, Galm, Itgav, Klf6, Maff, Myo1c, Spry4, Tnfrsf18, Glipr2, F2rl2, Enpp1, Cdc6, Gucy1b1, Anxa4, Adam19, P2rx4, Igf1r, Ttc39b, Plin2, Itgae, Dhrs3, Cdcp1, Tnfsf10, Car2, Cish, Rgs16, Etfbkmt, Tlr7, Ikzf4, Xbp1, Snx9, Muc1, Il4ra, Capg, Ecm1, Etv4, Pnp, Nt5e, Rragd, Ikzf2, Cyfip1, She, P4ha1, Smpdl3a, Pth1r, Dennd5a, Traf1, St3gal4, Cd48, Socs1, Rnh1, Ptrh2, Ccne1, Bcl2l1, Icos, Ctsz, Furin, Huwe1, Umps, Nrp1, Fgl2, Scn9a, Il1rl1","BMS","BMS_vs_DMSO"
"12","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00259330251437592,0.0117313775244186,-0.527860813828245,-1.4660696476641,22,195,"Id2, Ccnd1, Serpinb8, Ifih1, Bmp2, Il7r, Tnfrsf9, Jag1, Tap1, Ldlr, Cxcl1, Inhba, Cxcl10, Fjx1, Lif, Slc2a3, Fosl1, Pfkfb3, Egr2, Hes1, Il18, Tnfaip3, Slc16a6, Bhlhe40, Sphk1, Tnfaip6, Trib1, Ptx3, B4galt1, Stat5a, Serpinb2, Klf9, Plpp3, Ccrl2, Ptgs2, Irf1, Nfkb1, Cdkn1a, Ackr3, Il15ra, Fosl2, Birc3, Klf6, Maff, Trip10, Tnfsf9, Tnfaip8, Serpine1, Cxcl5, Zc3h12a, Kdm6b, Tgif1, Il23a, Litaf, Dusp4, Per1, Socs3, Il1b, Plk2, Il6, Ptpre, F2rl1, Olr1, Pde4b, B4galt5, Nr4a3, Nampt, Gpr183, Cebpb, Cd80, Btg3, Yrdc, Plaur, Plau, Nfkb2, Bcl3, Clcf1, Ier3, Dennd5a, Traf1, Dram1, Il1a, Tnip2, Rela, Cxcl11, F3","BMS","BMS_vs_DMSO"
"13","HALLMARK_ALLOGRAFT_REJECTION",0.00283897342720872,0.0117313775244186,-0.533833377657257,-1.47630131374325,24,185,"Tlr3, Hdac9, Stat1, Psmb10, Bcat1, Tap1, Ccr2, Ccnd2, Tap2, Ereg, Inhba, Nos2, Irf7, Inhbb, Lif, Egfr, Map4k1, Il18, Ccr5, Brca1, B2m, Tapbp, Itgal, Akt1, Ccl22, Hcls1, Gcnt1, Nlrp3, Il2rg, Tlr1, Cd1d2, Il1b, Il6, Flna, Igsf6, Ccr1, Ifnar2, Cxcr3, H2-DMb2, Ncf4, Il4ra, Capg, Cd80, Cfp, Ccl11, H2-Ob, Eif5a, Fgr, Bcl3, Il16, Thy1, Eif3a, C2, Mrpl3, Prkcb, Hif1a, Socs1, St8sia4, Ccl7, Was, Tlr6, Ncr1, Tlr2, Ifngr2, Csf1, Ctss, Csk, Icam1, Timp1, Il2ra, Il11, Apbb1, Srgn, Eif3j1, Gpr65, Elf4, Eif3d, Il2rb, Jak2, Nme1, Fas, Gzma","BMS","BMS_vs_DMSO"
"14","HALLMARK_MYC_TARGETS_V2",0.00399095383796727,0.0142534065641688,-0.65790612818547,-1.59899266133296,29,57,"Hk2, Utp20, Tmem97, Map3k6, Tcof1, Plk1, Pus1, Mcm4, Plk4, Mcm5, Pprc1, Srm, Mybbp1a, Grwd1, Ppan, Rrp12, Tbrg4, Pa2g4, Slc19a1, Pes1, Nolc1, Gnl3, Ung, Wdr43, Ddx18, Rrp9, Rabepk, Noc4l, Mrto4, Hspd1, Bysl, Wdr74","BMS","BMS_vs_DMSO"
