pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.9120458891013384e-4,0.003188572157387922,-0.6540369286199381,-1.8679488411726006,0,183,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MYC_TARGETS_V1,1.913143294432753e-4,0.003188572157387922,-0.7280068454618959,-2.0816797383108834,0,186,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_E2F_TARGETS,1.9109497420217848e-4,0.003188572157387922,-0.7779382504756417,-2.232566302047362,0,198,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MYC_TARGETS_V2,6.212466349140609e-4,0.007765582936425761,-0.7807775905805361,-1.940989026557028,2,57,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_ALLOGRAFT_REJECTION,0.0022927015666794038,0.02292701566679404,-0.6051057188841827,-1.7300325014895526,11,185,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MTORC1_SIGNALING,0.0030721966205837174,0.025601638504864313,-0.5823939921454784,-1.6661589147561577,15,193,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MITOTIC_SPINDLE,0.004195510803440319,0.029967934310287995,0.46558982875014776,1.4522102649764708,19,199,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.005349636988918609,0.03343523118074131,-0.5756560888363779,-1.6458342935573989,27,185,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_G2M_CHECKPOINT,0.006142034548944338,0.034122414160801876,-0.5625748664705832,-1.6119533792778367,31,195,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.010748560460652591,0.049648030923630695,-0.5446951711533502,-1.560722446285954,55,195,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_FATTY_ACID_METABOLISM,0.010922566803198752,0.049648030923630695,-0.5724122411096496,-1.6009264694593919,55,151,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.012325722368155182,0.05135717653397993,-0.636658254935519,-1.6914895747519942,60,93,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.01783517835178352,0.068596839814552,-0.6324006195639359,-1.659924421963678,86,85,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_PROTEIN_SECRETION,0.022305566521910777,0.07966273757825278,0.49657200025636283,1.4177093837390529,112,94,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_INFLAMMATORY_RESPONSE,0.02722914669223394,0.09076382230744647,-0.5084291639351849,-1.4582353453776034,141,197,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_DNA_REPAIR,0.037905431809300505,0.11845447440406408,-0.5240095233756111,-1.462432721821485,193,147,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_P53_PATHWAY,0.06877752149297546,0.20228682792051608,0.39368262429853007,1.2268158232777668,327,198,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MYOGENESIS,0.07357156506783871,0.2043654585217742,-0.4617243565486588,-1.3250797716075455,384,198,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_KRAS_SIGNALING_UP,0.08006879419071278,0.2107073531334547,-0.4583948204286789,-1.3155245014580552,418,198,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_HEME_METABOLISM,0.0993957074390498,0.2484892685976245,0.38331835791175606,1.1890275548706084,476,188,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_IL2_STAT5_SIGNALING,0.11637683928912669,0.2770877125931588,-0.43927183011648074,-1.2606443824520948,608,198,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_APOPTOSIS,0.1537422839506173,0.3494142817059484,-0.4364268925328901,-1.2303580802281242,796,161,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_ANGIOGENESIS,0.16890337423312884,0.35392381680361806,0.49951401215817937,1.2208523860175637,880,36,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_ADIPOGENESIS,0.16988343206573667,0.35392381680361806,-0.4166785835286604,-1.1958051475192784,888,198,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_UV_RESPONSE_UP,0.23035019455252917,0.46070038910505834,-0.4092503211448371,-1.146782505480792,1183,154,,CombovsBMS,Ribo_vs_DMSO
