pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.9120458891013384e-4,0.003188572157387922,-0.6540369286199381,-1.8679488411726006,0,183,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MYC_TARGETS_V1,1.913143294432753e-4,0.003188572157387922,-0.7280068454618959,-2.0816797383108834,0,186,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_E2F_TARGETS,1.9109497420217848e-4,0.003188572157387922,-0.7779382504756417,-2.232566302047362,0,198,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MYC_TARGETS_V2,6.212466349140609e-4,0.007765582936425761,-0.7807775905805361,-1.940989026557028,2,57,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_ALLOGRAFT_REJECTION,0.0022927015666794038,0.02292701566679404,-0.6051057188841827,-1.7300325014895526,11,185,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_MTORC1_SIGNALING,0.0030721966205837174,0.025601638504864313,-0.5823939921454784,-1.6661589147561577,15,193,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.005349636988918609,0.03343523118074131,-0.5756560888363779,-1.6458342935573989,27,185,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_G2M_CHECKPOINT,0.006142034548944338,0.034122414160801876,-0.5625748664705832,-1.6119533792778367,31,195,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.010748560460652591,0.049648030923630695,-0.5446951711533502,-1.560722446285954,55,195,,CombovsBMS,Ribo_vs_DMSO
HALLMARK_FATTY_ACID_METABOLISM,0.010922566803198752,0.049648030923630695,-0.5724122411096496,-1.6009264694593919,55,151,,CombovsBMS,Ribo_vs_DMSO
