"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000103444708803145,0.000804285231714575,-0.622116488129208,-1.66433891141342,0,195,"Il1b, G0s2, Cxcl10, Tnfrsf9, Ccrl2, Serpinb8, Ifih1, Birc3, Id2, Tap1, Fut4, Il15ra, Il23a, Ldlr, Tnfsf9, Lif, Il6, Il7r, Maff, Cdkn1a, Bcl3, Serpinb2, Slc2a3, Zc3h12a, Cxcl2, Cxcl5, Ptgs2, Tnf, Inhba, Tnfaip3, Trib1, Hes1, Tlr2, Irf1, Pfkfb3, Trip10, Jag1, Il18, Traf1, Fjx1, Ackr3, Bhlhe40, Ptx3, Tnfaip8, Cebpb, Ifit2, Tnfaip6, Clcf1, Nfkb1, Sphk1, Klf9, B4galt1, Gpr183, Dram1, Cd80, Bmp2, Bcl2a1d, Socs3, Icam1, Ccnd1, Nampt, Klf6, Ptpre, Ccl5, Nr4a1, Cebpd, Plaur, Stat5a, Tgif1, Slc16a6, F3, Per1, Btg3, Serpine1, Dusp4, Vegfa, Cxcl1, Ifngr2, B4galt5, Litaf, F2rl1, Cd69, Lamb3, Junb, Zfp36, Klf4, Plk2, Klf10, Il12b, Atf3, Fosl2, Fos, Dusp2, Nfil3, Relb, Egr2, Plpp3, Map3k8, Nfe2l2, Il1a, Gem, Ier3, Ptger4","Combo","Combo_vs_DMSO"
"2","HALLMARK_ALLOGRAFT_REJECTION",0.000103734439834025,0.000804285231714575,-0.666608276168109,-1.77891041225783,0,185,"Il1b, Il10, Ccr2, Hdac9, Ccr5, Ltb, Il18rap, Tlr1, Nos2, Tlr3, Psmb10, Fgr, Tap2, Itgal, Ncr1, Tap1, Irf7, Nlrp3, Lif, Il6, Gzma, Lck, Bcat1, Stat1, Prf1, Bcl3, Hcls1, Ncf4, Tnf, Inhba, Ccl7, Cxcl13, Tlr2, Ccr1, Brca1, Il18, Gcnt1, Cxcl9, Igsf6, Map4k1, B2m, Ereg, Il16, H2-DMb2, Il2ra, Cxcr3, Tapbp, Egfr, Ccl22, Cd80, Prkcb, Il2rb, Spi1, C2, Ptpn6, Zap70, Icam1, Cd2, Ptprc, Ly86, Ccl5, Cd40, Ifnar2, Akt1, Thy1, Ccl11, H2-Ob, Cd1d2, Mmp9, Was, Fas, Ifngr2, H2-Ea, St8sia4, Il7, Fcgr2b, Mrpl3, Il4ra, H2-Aa, Il2rg, Cd8b1, Il12b, Cfp, Ccnd2","Combo","Combo_vs_DMSO"
"3","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000112599932440041,0.000804285231714575,-0.719566338629825,-1.81342923102651,0,85,"Il1b, Cxcl10, Ltb, Csf3r, Irf9, Il15ra, Il6, Stat1, Cxcl2, Tnf, Ccl7, Cxcl13, Tlr2, Irf1, Ccr1, Myd88, Ltbr, Pik3r5, Acvrl1, Cxcl9, Itga4, Bak1, Il2ra, Cd14, Cd38, Lepr, Ebi3, Pdgfc, Socs3, Tnfrsf1a, Pim1, Il10rb, Fas, Il1r2, Ifngr2, Hax1, Il13ra1, Cntfr, Itgb3, Il7, Csf2ra, Il4ra, Il2rg, Il3ra, Map3k8, Socs1, Pf4, Acvr1b, Stat2, Cxcl11, Il17ra, Csf1","Combo","Combo_vs_DMSO"
"4","HALLMARK_E2F_TARGETS",0.000103466114847387,0.000804285231714575,-0.689482975803898,-1.84562374083671,0,198,"Dscc1, Mcm3, Tk1, Lig1, Shmt1, Mybl2, Ung, Mcm2, Hells, Cdkn1a, Mcm4, Chek1, Hmga1b, Spc24, E2f8, Pold1, Mcm6, Mcm5, Cdk1, Racgap1, Atad2, Pold3, Brca1, Cdc25b, Lmnb1, Rad51ap1, Dut, Pcna, Wee1, Pold2, Rrm2, Plk4, Cdkn2c, Tmpo, Aurka, Melk, Ccnb2, Plk1, Psmc3ip, Rpa2, Cdc25a, Nasp, Ak2, Top2a, Cks2, Trip13, Cdca8, Bard1, Kif22, Ncapd2, Mthfd2, Cdc20, Lbr, Pa2g4, Pole, Ddx39a, Usp1, Mcm7, Paics, Ssrp1, Aurkb, Ubr7, Pola2, Rfc3, Kif2c, Exosc8, Tubb5, Diaph3, Ranbp1, Prps1, Nap1l1, Bub1b, Spag5, Mms22l, Cit, Lyar, Espl1, Rfc2, Rpa1, Asf1b, Rad21, Mre11a, Prdx4, Snrpb, Kif18b, Hmmr, Brca2, Dlgap5, Hnrnpd, Eif2s1, Tipin, Mki67, Gins1, Birc5, Timeless, Depdc1a, Ran, Smc4, Cbx5, Rad1, Kif4, Dnmt1, Stag1, Ccne1, Pms2, Tbrg4, Ube2s, Rad51c, Tcf19, Pop7, Tacc3, Msh2, Dctpp1, Stmn1, Nup107, Nolc1, Rpa3, Gspt1, Rfc1, Phf5a, Nbn, Hmgb2, Cdkn1b, Rad50, Mad2l1, Cenpe, Ipo7, Ezh2, Trp53, Ppp1r8, Anp32e, Cdkn3, Zw10, Pds5b","Combo","Combo_vs_DMSO"
"5","HALLMARK_INFLAMMATORY_RESPONSE",0.00010353038616834,0.000804285231714575,-0.71237932574364,-1.90621588907885,0,197,"Mefv, Il1b, Bdkrb1, Nmi, Rtp4, Il10, Cxcl10, Tnfrsf9, Tacr1, Bst2, Il18rap, Ccrl2, Tlr1, Ccr7, Tlr3, Csf3r, Tnfsf10, Aqp9, Il15ra, Irf7, Nlrp3, Fpr1, Ldlr, Tnfsf9, Lif, Il6, Il7r, Lck, Adm, Cdkn1a, Slc7a1, Ly6e, Cxcl5, Calcrl, Slc1a2, Rgs1, Inhba, Ndp, P2rx7, Ccl7, Has2, Rnf144b, Tlr2, Irf1, Tnfsf15, Il18, Ifitm1, Pik3r5, Cxcl9, Cd82, C3ar1, Ptger2, Eif2ak2, Ereg, Cd14, Tapbp, Tnfaip6, Ccl22, Gpr132, Nfkb1, Sphk1, Ebi3, Gpr183, Ffar2, Adora2b, Il2rb, Icam1, Pdpn, Nampt, Klf6, Ptpre, Ccl5, Plaur, Cd40, Gna15, Lpar1, Marco, Osm, Ptgir, Sema4d, F3, Cd48, Msr1, Serpine1, Kcnj2, Ifngr2, Cybb, Slc28a2, Itgb3, Cd69, P2ry2, Sell, Irak2, Ptafr, Itgb8, Sele, Emp3, Itga5, Aplnr, Il4ra","Combo","Combo_vs_DMSO"
"6","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000103734439834025,0.000804285231714575,-0.76510569614223,-2.04176056314361,0,185,"Ifi44, Nmi, Xaf1, Gbp3, Samd9l, Usp18, Oas2, Rtp4, Parp12, Cxcl10, Zbp1, Gpr18, Oasl1, Isg15, Ifit3, Rsad2, Dhx58, Mx2, Upp1, Bst2, Ddx60, Ifitm3, Rnf213, Cd274, Apol6, Nlrc5, Epsti1, Ifih1, Psmb8, Herc6, Psmb10, Tnfsf10, Ifi27, Irf9, Isg20, Oas3, Casp8, Parp14, P2ry14, Tap1, Ube2l6, Il15ra, Ifi35, Psmb9, Irf7, Fpr1, Vcam1, Cmpk2, Il6, Gzma, Plscr1, Stat1, Lgals3bp, Cdkn1a, Slamf7, Helz2, Ifi44l, Ly6e, Pml, Fcgr1, Trim21, Ptgs2, Fgl2, Trim14, Tnfaip3, Ccl7, Irf1, Casp4, Ciita, Myd88, Cxcl9, Eif2ak2, B2m, Sspn, Pnp, Tapbp, Ifit2, Psme2, Tnfaip6, Sp110, Cd38, Nfkb1, Mthfd2, Mvp, Adar, Socs3, Pfkp, Il2rb, Psme1, Ptpn6, Marchf1, Vamp8, Icam1, Nampt, Serping1, Ccl5, Cd40, Ifnar2, Nod1, Itgb7, Samhd1, Bank1, Pla2g4a, Pim1, Batf2","Combo","Combo_vs_DMSO"
"7","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000111395789239167,0.000804285231714575,-0.810363278654783,-2.0570145455801,0,93,"Ifi44, Nmi, Gbp3, Samd9l, Usp18, Rtp4, Parp12, Cxcl10, Oasl1, Parp9, Isg15, Ifit3, Rsad2, Dhx58, Mx2, Bst2, Ddx60, Ifitm3, Uba7, Ccrl2, Epsti1, Ifih1, Psmb8, Herc6, Ifi27, Trim12c, Irf9, Isg20, Casp8, Parp14, Tap1, Ube2l6, Ifi35, Psmb9, Irf7, Cmpk2, Plscr1, Tent5a, Mov10, Procr, Lgals3bp, Helz2, Ifi44l, Ly6e, Trim21, Trim14, Irf1, Oas1a, Ifitm1, Eif2ak2, B2m, Ifit2, Psme2, Sp110","Combo","Combo_vs_DMSO"
"8","HALLMARK_MTORC1_SIGNALING",0.00020701790704896,0.0010350895352448,-0.586013522288312,-1.56645425696765,1,193,"Slc7a11, Sla, Me1, Ldlr, Ung, Vldlr, Mcm2, Bcat1, Cdkn1a, Sytl2, Slc2a3, Hk2, Mcm4, Igfbp5, Stard4, Shmt2, Phgdh, Ak4, Fgl2, Gsr, Slc1a5, Ldha, Tmem97, Bhlhe40, Trib3, Hmgcs1, Rrm2, Dapp1, Asns, Tpi1, Dhfr, Cyp51, Aurka, Serpinh1, Cxcr4, Hspa9, Plk1, Pnp, Slc2a1, Idi1, Cdc25a, Elovl6, Dhcr24, Mthfd2, Nupr1, Hmgcr, Pgk1, Nfkbib, Plod2, Ddx39a, Gpi1, Nampt, Ctsc, Rrp9, Tomm40, Eef1e1, Tes, Cth, Fads2, Rpa1, Ccnf, Psmc2, Pgm1, Psmd14, Psph, Hsp90b1, Aldoa, Pno1, Niban1, Eno1b, Egln3, Hmbs, Skap2, Cfp, Canx, Pdk1, Nfil3, Bub1, Nufip1, Eif2s2, Psat1, Ero1a, Xbp1, Slc37a4, P4ha1, Actr3, Cct6a, Hspd1","Combo","Combo_vs_DMSO"
"9","HALLMARK_G2M_CHECKPOINT",0.000206889417606289,0.0010350895352448,-0.589023070037767,-1.57580458626334,1,195,"E2f2, Cdc6, Mcm3, Mybl2, Mcm2, Cdc45, Bcl3, Slc7a1, Chek1, Pml, Tle3, Ube2c, Hmga1b, Pbk, Gins2, Chaf1a, Mcm6, Mcm5, Cdk1, Racgap1, Atf5, Cdc25b, Lmnb1, Exo1, E2f1, Plk4, Cdkn2c, Tmpo, Cenpa, Aurka, Ccnb2, Plk1, Rpa2, Cdc25a, Nasp, Top2a, Cks2, Smc2, Bard1, Kif22, Traip, Incenp, Tpx2, Rad54l, Dkc1, Kif11, Cdc20, Lbr, Ccnd1, Pole, Ddx39a, Map3k20, Ccna2, Aurkb, Pola2, Prc1, Kif2c, Rbl1, Fbxo5, Snrpd1, Ndc80, Troap, Espl1, Rad21, Ccnf, Nusap1, Mnat1, Nek2, Kif15, Hmmr, Brca2, Hnrnpd, Mki67, Birc5, G3bp1, Smc4, Kpnb1, Dbf4, Kif4, Nsd2, Stag1, Bub1, Ube2s, Tacc3, Stmn1, Katna1, Uck2, Nolc1, Kmt5a, Tfdp1, Slc38a1, Gspt1, Sfpq, Kif20b, Cdkn1b, Mad2l1, Meis1, Cenpe, Ezh2, Cdkn3, Odf2, Pds5b, Polq, Xpo1, Kif23, Hif1a","Combo","Combo_vs_DMSO"
"10","HALLMARK_IL2_STAT5_SIGNALING",0.000206932229694775,0.0010350895352448,-0.596751448576852,-1.59739787568793,1,198,"Gbp3, Il10, Cxcl10, Tnfrsf9, Batf, Ltb, Ifitm3, Slc39a8, Tnfsf10, Cst7, Flt3l, Cdc6, Fah, Abcb1a, Lif, Maff, Plscr1, Slc2a3, Hk2, Cd79b, Socs2, Fgl2, Ndrg1, Lrrc8c, Pus1, Slc1a5, Traf1, Nt5e, Bhlhe40, Spred2, Glipr2, Myo1c, Ptger2, Itgae, Pnp, Il2ra, Etv4, Ncs1, Ckap4, Itga6, Bmp2, Emp1, Il2rb, Galm, Klf6, Ecm1, Ptrh2, Anxa4, Pim1, Tlr7, Car2, Rragd, Cd48, Snx9, Penk, Il1r2, Itih5, Etfbkmt, Cish, Scn9a, F2rl2, Sell, Pth1r, Smpdl3a, Batf3, Eef1akmt1, St3gal4, Il4ra, Ttc39b, Tgm2, Prkch, Ccne1, Plin2, Ccnd2, P2rx4, Rgs16, Igf1r, Capg, Nfil3, Rnh1, Il3ra, Map3k8, Xbp1, Ikzf4, P4ha1, Socs1, Bcl2l1, Uck2, Itgav, Umps, Syngr2, Ctsz, Rhoh, She, Dhrs3, Csf1, Adam19, Tiam1, Gpr65, Serpinb6a, Ahnak, Muc1, Spry4, Nfkbiz, Gpr83, Cd86, Cd44, Il1rl1","Combo","Combo_vs_DMSO"
