pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_MTORC1_SIGNALING,1.2542330364981815e-4,0.001230375510605837,-0.5989474080699051,-1.7657957021505872,0,193,,CombovsRibo,Combo_vs_Ribo
HALLMARK_MYC_TARGETS_V2,1.4764506127270044e-4,0.001230375510605837,-0.7653827974377383,-1.9480457428012967,0,57,,CombovsRibo,Combo_vs_Ribo
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.258019876714052e-4,0.001230375510605837,-0.6714342318766707,-1.9730470133262685,0,185,,CombovsRibo,Combo_vs_Ribo
HALLMARK_MYC_TARGETS_V1,1.2575452716297788e-4,0.001230375510605837,-0.6727316679481757,-1.9780456830313997,0,186,,CombovsRibo,Combo_vs_Ribo
HALLMARK_E2F_TARGETS,1.2501562695336918e-4,0.001230375510605837,-0.6788699365945725,-2.0069147700290055,0,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.3798813302056022e-4,0.001230375510605837,-0.7484079749405972,-2.04261973888859,0,93,,CombovsRibo,Combo_vs_Ribo
HALLMARK_G2M_CHECKPOINT,2.502815667626079e-4,0.0017877254768757709,-0.5756459780532046,-1.6997234854724181,1,195,,CombovsRibo,Combo_vs_Ribo
HALLMARK_INFLAMMATORY_RESPONSE,3.758927452700163e-4,0.002349329657937602,-0.536532154101469,-1.5850167954100927,2,197,,CombovsRibo,Combo_vs_Ribo
HALLMARK_HYPOXIA,0.0025003125390673834,0.013890625217041019,-0.5002719172923971,-1.4789329232654485,19,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.003378801151295207,0.016894005756476035,-0.49545671009461884,-1.4629467386027448,26,195,,CombovsRibo,Combo_vs_Ribo
HALLMARK_MYOGENESIS,0.00798801797304044,0.036309172604729274,0.44243866577129665,1.4769145708281217,15,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.010413734871939206,0.04339056196641336,-0.5567858367879175,-1.5010603840936674,73,85,,CombovsRibo,Combo_vs_Ribo
HALLMARK_HEDGEHOG_SIGNALING,0.023764557758892038,0.09140214522650784,-0.6340204924468635,-1.4983555161134128,150,36,,CombovsRibo,Combo_vs_Ribo
HALLMARK_PROTEIN_SECRETION,0.02566883586406363,0.09167441380022726,0.48228657565519795,1.4737582099382711,70,94,,CombovsRibo,Combo_vs_Ribo
HALLMARK_GLYCOLYSIS,0.03107838242636046,0.1035946080878682,-0.44781564256353573,-1.3244200778055375,248,199,,CombovsRibo,Combo_vs_Ribo
HALLMARK_ALLOGRAFT_REJECTION,0.0363567744370361,0.11361492011573782,-0.44775271043274006,-1.3157463621698833,288,185,,CombovsRibo,Combo_vs_Ribo
HALLMARK_ANDROGEN_RESPONSE,0.06846846846846846,0.19019019019019018,0.42993410746632243,1.31716640829714,189,95,,CombovsRibo,Combo_vs_Ribo
HALLMARK_IL2_STAT5_SIGNALING,0.06563320415051882,0.19019019019019018,-0.4272258319292826,-1.2629898394644299,524,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_P53_PATHWAY,0.07538691962056915,0.19838663058044514,0.36886549194294355,1.231318286290609,150,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_APICAL_SURFACE,0.11772831926323868,0.2943207981580967,-0.5296804761138756,-1.2933974879270553,766,44,,CombovsRibo,Combo_vs_Ribo
HALLMARK_COAGULATION,0.12876599257119273,0.29676463886990206,0.3676470857618483,1.17897536902617,311,134,,CombovsRibo,Combo_vs_Ribo
HALLMARK_ESTROGEN_RESPONSE_LATE,0.1305764411027569,0.29676463886990206,-0.40286209364483777,-1.1869011903855395,1041,191,,CombovsRibo,Combo_vs_Ribo
HALLMARK_BILE_ACID_METABOLISM,0.1389751552795031,0.30211990278152845,0.37858599787516434,1.1819987507112513,357,111,,CombovsRibo,Combo_vs_Ribo
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.14520139234211835,0.3025029007127466,0.34099840308966056,1.1369729486259215,291,195,,CombovsRibo,Combo_vs_Ribo
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.16937221663554086,0.3387444332710817,-0.45799102596438923,-1.205000205690504,1178,71,,CombovsRibo,Combo_vs_Ribo
HALLMARK_KRAS_SIGNALING_DN,0.1777248212717923,0.3417785024457544,-0.3903601926701254,-1.150846203223126,1416,193,,CombovsRibo,Combo_vs_Ribo
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.20995564317397733,0.38880674661847653,0.3277418564519645,1.0930283397156935,425,193,,CombovsRibo,Combo_vs_Ribo
HALLMARK_APOPTOSIS,0.23881932021466906,0.42646307181190907,0.32972208151699617,1.0794467063394513,533,161,,CombovsRibo,Combo_vs_Ribo
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.26906112161310647,0.4484352026885108,-0.3735919118465199,-1.0964647872885716,2134,183,,CombovsRibo,Combo_vs_Ribo
HALLMARK_FATTY_ACID_METABOLISM,0.2615743742705226,0.4484352026885108,-0.38318521358590074,-1.103317154397752,2016,151,,CombovsRibo,Combo_vs_Ribo
HALLMARK_UV_RESPONSE_UP,0.2868257261410788,0.46262213893722387,-0.37798790740739846,-1.0898889834438439,2211,154,,CombovsRibo,Combo_vs_Ribo
HALLMARK_KRAS_SIGNALING_UP,0.29753719214901864,0.4649018627328416,-0.36486690466396465,-1.0786407536885616,2379,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_XENOBIOTIC_METABOLISM,0.35528255528255526,0.5224743460037578,0.3050251137154569,1.0168813036190925,722,192,,CombovsRibo,Combo_vs_Ribo
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.3449728260869565,0.5224743460037578,-0.38280476338620884,-1.0616680166845045,2538,108,,CombovsRibo,Combo_vs_Ribo
HALLMARK_ANGIOGENESIS,0.42351973684210525,0.6050281954887218,0.3873048262922265,1.0046286201830847,1544,36,,CombovsRibo,Combo_vs_Ribo
HALLMARK_COMPLEMENT,0.48962133601710905,0.6800296333570959,-0.33630024322955604,-0.9882370587963286,3891,185,,CombovsRibo,Combo_vs_Ribo
HALLMARK_PANCREAS_BETA_CELLS,0.5068792995622264,0.6849720264354411,-0.405355318400895,-0.9697365471500898,3241,39,,CombovsRibo,Combo_vs_Ribo
HALLMARK_UV_RESPONSE_DN,0.5467289719626168,0.7193802262666011,0.2926957057020422,0.9458660666369686,1286,144,,CombovsRibo,Combo_vs_Ribo
HALLMARK_HEME_METABOLISM,0.6642192853646598,0.7730513030267618,0.2777128870277548,0.9218125943681723,1356,188,,CombovsRibo,Combo_vs_Ribo
HALLMARK_MITOTIC_SPINDLE,0.6648241206030151,0.7730513030267618,0.2759144115896417,0.921602430598001,1322,199,,CombovsRibo,Combo_vs_Ribo
HALLMARK_NOTCH_SIGNALING,0.6414640662570131,0.7730513030267618,0.34581893209293035,0.8775029326332863,2400,32,,CombovsRibo,Combo_vs_Ribo
HALLMARK_DNA_REPAIR,0.6594855725290508,0.7730513030267618,-0.3173588327857064,-0.9107009719363257,5050,147,,CombovsRibo,Combo_vs_Ribo
HALLMARK_SPERMATOGENESIS,0.6097110436733079,0.7730513030267618,-0.3275090026054478,-0.9310676967955043,4620,134,,CombovsRibo,Combo_vs_Ribo
HALLMARK_PEROXISOME,0.7457905544147844,0.8474892663804369,-0.31182802996907655,-0.85928935079806,5447,101,,CombovsRibo,Combo_vs_Ribo
HALLMARK_TGF_BETA_SIGNALING,0.8929114694250077,0.9021798365122616,0.27648186905888344,0.7717381920194352,2934,53,,CombovsRibo,Combo_vs_Ribo
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.8697236562405102,0.9021798365122616,-0.3042338579750951,-0.7519247537345083,5727,48,,CombovsRibo,Combo_vs_Ribo
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.8432616431997524,0.9021798365122616,-0.3142815755211032,-0.7620016344769532,5449,42,,CombovsRibo,Combo_vs_Ribo
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.9021798365122616,0.9021798365122616,-0.27935398078750534,-0.7730414480217354,6621,105,,CombovsRibo,Combo_vs_Ribo
HALLMARK_ADIPOGENESIS,0.8721090136267033,0.9021798365122616,-0.2772515023828634,-0.8196270082839151,6975,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_APICAL_JUNCTION,0.8343565969176795,0.9021798365122616,-0.28425730130343513,-0.8397494788330678,6658,197,,CombovsRibo,Combo_vs_Ribo
