pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_MTORC1_SIGNALING,1.2542330364981815e-4,0.001230375510605837,-0.5989474080699051,-1.7657957021505872,0,193,,CombovsRibo,Combo_vs_Ribo
HALLMARK_MYC_TARGETS_V2,1.4764506127270044e-4,0.001230375510605837,-0.7653827974377383,-1.9480457428012967,0,57,,CombovsRibo,Combo_vs_Ribo
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.258019876714052e-4,0.001230375510605837,-0.6714342318766707,-1.9730470133262685,0,185,,CombovsRibo,Combo_vs_Ribo
HALLMARK_MYC_TARGETS_V1,1.2575452716297788e-4,0.001230375510605837,-0.6727316679481757,-1.9780456830313997,0,186,,CombovsRibo,Combo_vs_Ribo
HALLMARK_E2F_TARGETS,1.2501562695336918e-4,0.001230375510605837,-0.6788699365945725,-2.0069147700290055,0,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.3798813302056022e-4,0.001230375510605837,-0.7484079749405972,-2.04261973888859,0,93,,CombovsRibo,Combo_vs_Ribo
HALLMARK_G2M_CHECKPOINT,2.502815667626079e-4,0.0017877254768757709,-0.5756459780532046,-1.6997234854724181,1,195,,CombovsRibo,Combo_vs_Ribo
HALLMARK_INFLAMMATORY_RESPONSE,3.758927452700163e-4,0.002349329657937602,-0.536532154101469,-1.5850167954100927,2,197,,CombovsRibo,Combo_vs_Ribo
HALLMARK_HYPOXIA,0.0025003125390673834,0.013890625217041019,-0.5002719172923971,-1.4789329232654485,19,198,,CombovsRibo,Combo_vs_Ribo
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.003378801151295207,0.016894005756476035,-0.49545671009461884,-1.4629467386027448,26,195,,CombovsRibo,Combo_vs_Ribo
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.010413734871939206,0.04339056196641336,-0.5567858367879175,-1.5010603840936674,73,85,,CombovsRibo,Combo_vs_Ribo
