"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"1","HALLMARK_MTORC1_SIGNALING",0.000125423303649818,0.00123037551060584,-0.598947408069905,-1.76579570215059,0,193,"Slc7a11, Igfbp5, Slc2a3, Bcat1, Hk2, Shmt2, Ak4, Phgdh, Bhlhe40, Ldha, Ldlr, Asns, Vldlr, Tpi1, Mcm2, Gpi1, Me1, Plk1, Cth, Aldoa, Pgk1, Stard4, Aurka, Trib3, Cyp51, Slc37a4, Tmem97, Hspa9, Ddit4, Gsr, Hmgcs1, Cxcr4, Eef1e1, Mcm4, Psat1, Idi1, Ung, Ddx39a, Hmgcr, Dhcr24, Cdc25a, Egln3, Fads2, Mthfd2, Slc2a1, Mllt11, Nampt, Rrp9, Cdkn1a, Dhcr7, Pdk1, Sla, Pfkl, Slc1a5, Hmbs, Tomm40, Nfkbib, Insig1, Hspd1, Plod2, Nufip1, Fgl2, Fads1, Psmc2, Psph, Tfrc, Elovl6, Pgm1, P4ha1, Rpa1, Psmc4, Pdap1, Canx, Cct6a, Hspe1, Dapp1, Psmd13, Ccnf, Polr3g, Abcf2, Psmd14","CombovsRibo","Combo_vs_Ribo"
"2","HALLMARK_MYC_TARGETS_V2",0.0001476450612727,0.00123037551060584,-0.765382797437738,-1.9480457428013,0,57,"Hk2, Plk1, Tmem97, Pus1, Srm, Tcof1, Utp20, Ppan, Mcm4, Ung, Nop16, Mrto4, Mybbp1a, Mcm5, Pes1, Rabepk, Rrp9, Pa2g4, Grwd1, Dctpp1, Tbrg4, Slc19a1, Noc4l, Plk4, Hspd1, Npm1, Wdr74, Nop2, Map3k6, Nip7, Hspe1, Cdk4, Slc29a2, Supv3l1, Gnl3, Rrp12, Exosc5, Pprc1, Ddx18, Nolc1, Ipo4","CombovsRibo","Combo_vs_Ribo"
"3","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000125801987671405,0.00123037551060584,-0.671434231876671,-1.97304701332627,0,185,"Usp18, Xaf1, Nmi, Gbp3, Parp12, Samd9l, Rtp4, Mx2, Rsad2, Oasl1, Isg15, Cxcl10, Ifi44, Oas2, Ifi27, Rnf213, Bst2, Psmb8, Ddx60, Psmb9, Nlrc5, Herc6, Tap1, Irf9, Dhx58, Cmpk2, Ifitm3, Ifih1, Cd274, Psmb10, Zbp1, Ifit3, Stat1, Upp1, Il6, Irf7, Ifi35, Plscr1, B2m, Sspn, Pml, Ube2l6, Tnfaip3, Trim21, Oas3, Casp8, Psme2, Mthfd2, Irf1, Helz2, Nampt, Psme1, Cdkn1a, Parp14, Isg20, P2ry14, Ly6e, Ptgs2, Gzma, Adar, Lap3, Gpr18, Pnpt1, Epsti1, Fgl2, Socs3, Eif2ak2, Ccl5, Rnf31","CombovsRibo","Combo_vs_Ribo"
"4","HALLMARK_MYC_TARGETS_V1",0.000125754527162978,0.00123037551060584,-0.672731667948176,-1.9780456830314,0,186,"Ldha, Mcm2, Hdgf, Pold2, Pgk1, Mcm6, Hnrnpa1, Cdc45, Cdc20, Srm, Fbl, Mcm4, Tyms, Nop16, Nhp2, Apex1, C1qbp, Mcm5, Ruvbl2, Mrpl23, Rrp9, Got2, Pa2g4, Snrpd1, Dut, Mrps18b, Hsp90ab1, Exosc7, Ranbp1, Ccna2, Mcm7, Pcbp1, Nap1l1, Tufm, Eif3d, Ran, Cct3, Hnrnpd, Snrpa1, Snrpa, Rps5, Phb2, Cnbp, Snrpb2, Hspd1, Pole3, Rrm1, Rfc4, Pcna, Hnrnpr, Psma6, Lsm2, Rpl18, Npm1, Rad23b, Rpl22, Rps3, Ube2e1, Prpf31, Prdx4, Xpot, Psma1, G3bp1, Gspt1, Cct7, Rpl6, Psmc4, Rpl14, Canx, Hspe1, Cdk4, Prps2, Cct5, Hnrnpa2b1, Snrpd2, Xpo1, Gnl3, Psmd14, Vdac1, Clns1a, Snrpg, Psmb3, Snrpd3, Ddx18, Odc1, Eif2s1, Nolc1, Prdx3, Kpnb1, Rack1, Sf3a1, Psmb2, Rps2, Tcp1, Psma2, Bub3, Hnrnpc, Ncbp2, Serbp1, Tardbp, Sf3b3, Ppia, Eif4a1, Rps6, Acp1, Usp1, Cct4, Cul1, Eif2s2, H2az1, Rps10, Cct2, Ncbp1, Nop56, Rnps1, Cops5, Ndufab1, Mad2l1, Mrpl9, Tfdp1, Ssbp1, Cstf2, Ywhae, Cdk2, Nme1, Rsl1d1, Erh, Uba2, Hnrnpu, Dhx15, Pwp1","CombovsRibo","Combo_vs_Ribo"
"5","HALLMARK_E2F_TARGETS",0.000125015626953369,0.00123037551060584,-0.678869936594573,-2.00691477002901,0,198,"Shmt1, Hmga1b, Lig1, Mcm3, Racgap1, Cdc25b, Mcm2, Ccnb2, Tk1, Cdk1, Dscc1, Pold2, Plk1, Mcm6, Aurka, Pold1, Cdc20, Lmnb1, Cdca8, Mybl2, Cks2, Spc24, Kif22, Mcm4, Ncapd2, Ung, Ddx39a, Prps1, Ssrp1, Mcm5, Cdc25a, Mthfd2, Melk, Trip13, Tmpo, Ak2, Pa2g4, Wee1, Ccne1, Trp53, Cdkn1a, Dut, Kif2c, Bub1b, Dctpp1, Paics, Rad51ap1, Pold3, Psmc3ip, Ranbp1, Mcm7, Rpa2, Lbr, Nap1l1, E2f8, Hells, Rpa3, Chek1, Cdkn1b, Cdkn2a, Tbrg4, Ran, Rad21, Espl1, Snrpb, Hnrnpd, Dlgap5, Aurkb, Kif18b, Brca1, Rad1, Spag5, Stmn1, Ubr7, Plk4, Top2a, Ube2s, Pcna, Tubb5, Cdkn2c, Diaph3, Tfrc, Exosc8, Tacc3, Prdx4, Nasp, Gspt1, Rpa1, Hmgb2, Cdca3, Rfc2, Cdk4, Nup107, Rbbp7, Mre11a, Cbx5, Xpo1, Pms2, Birc5, Anp32e, Asf1b, Rfc1, Eif2s1, Nolc1, Lyar, Atad2, Cit, Mlh1, Pole, Hmmr, Kif4, Mms22l, Phf5a, Pola2, Msh2, Bard1, Cdkn3","CombovsRibo","Combo_vs_Ribo"
"6","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00013798813302056,0.00123037551060584,-0.748407974940597,-2.04261973888859,0,93,"Usp18, Nmi, Gbp3, Parp12, Samd9l, Rtp4, Mx2, Parp9, Rsad2, Oasl1, Isg15, Cxcl10, Ifi44, Ifi27, Bst2, Psmb8, Ddx60, Psmb9, Herc6, Tap1, Irf9, Dhx58, Ccrl2, Cmpk2, Ifitm3, Ifih1, Mov10, Ifit3, Irf7, Ifi35, Plscr1, B2m, Ube2l6, Trim21, Casp8, Psme2, Trim12c, Irf1, Helz2, Psme1, Parp14, Isg20, Ly6e, Adar, Lap3","CombovsRibo","Combo_vs_Ribo"
"7","HALLMARK_G2M_CHECKPOINT",0.000250281566762608,0.00178772547687577,-0.575645978053205,-1.69972348547242,1,195,"Slc7a1, Ube2c, Hmga1b, Mcm3, Racgap1, Cdc25b, Mcm2, Ccnb2, Cdk1, Plk1, Mcm6, Aurka, Ccnd1, Pml, Cdc45, Cdc20, Lmnb1, Cenpa, E2f2, Mybl2, Cks2, Kif22, Pbk, Tle3, Cdc6, Ddx39a, Tpx2, Chaf1a, Mcm5, Cdc25a, E2f1, Tmpo, Mnat1, Incenp, Snrpd1, Map3k20, Kif2c, Atf5, Traip, Ccna2, Rpa2, Lbr, Gins2, Troap, Chek1, Cdkn1b, Rad21, Espl1, Hnrnpd, Aurkb, Stmn1, Plk4, Uck2, Top2a, Ube2s, Nek2, Kif11, Cdkn2c, Prc1, Dkc1, Smc2, Rad23b, Exo1, Slc38a1, Meis1, Tacc3, Nasp, G3bp1, Gspt1, Nusap1, Cdk4, Ccnf, Sfpq, Xpo1, Odf2, Dbf4, Birc5, Katna1, Odc1, Nolc1, Kpnb1, Pole, Rad54l, Hmmr, Sap30, Prmt5, Kif4, Pola2, Bard1, Cdkn3, Bub3, Bub1, Numa1, Pttg1, Dtymk, Bcl3, Tent4a, Efna5, Fbxo5, Suv39h1, Kmt5a","CombovsRibo","Combo_vs_Ribo"
"8","HALLMARK_INFLAMMATORY_RESPONSE",0.000375892745270016,0.0023493296579376,-0.536532154101469,-1.58501679541009,2,197,"Bdkrb1, Il1b, Nmi, Mefv, Rtp4, Cxcl10, Bst2, Lck, Ccrl2, Adm, Tlr3, Tacr1, Slc1a2, Ccr7, Rnf144b, Ldlr, Slc7a1, Il6, Irf7, Tnfrsf9, Tnfsf9, Il18rap, Rgs1, Aqp9, Tnfsf15, Ndp, Cxcl5, Nlrp3, Il10, Irf1, Nampt, Cdkn1a, Ly6e, Inhba, Ccl22, Ptgir, Csf3r, Itgb8, Eif2ak2, Edn1, Ccl5, Cd82, Ccl7, Rgs16, Has2, Il7r, Sphk1, Tlr2","CombovsRibo","Combo_vs_Ribo"
"9","HALLMARK_HYPOXIA",0.00250031253906738,0.013890625217041,-0.500271917292397,-1.47893292326545,19,198,"Slc2a3, Adm, Chst3, Galk1, Hk2, Ak4, Dtna, Bhlhe40, Ldha, Jmjd6, Rragd, Pgf, Vldlr, Il6, Pfkfb3, Maff, Tpi1, Mif, Gpi1, Akap12, Aldoa, Pgk1, Fos, Slc37a4, Vegfa, Gys1, Tnfaip3, Ddit4, Fbp1, Ppp1r3c, Cxcr4, Kdm3a, Ilvbl, Nedd4l, Slc2a1, Sdc2, Cdkn1a, Isg20, Pdk1, Gpc4, Fam162a, Pfkl, Cdkn1b, Ankzf1, Grhpr, Cited2, Plac8, Ndrg1, Tgfb3, Hk1, Scarb1, Pgm1, P4ha1, Egfr, Aldoc","CombovsRibo","Combo_vs_Ribo"
"10","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00337880115129521,0.016894005756476,-0.495456710094619,-1.46294673860274,26,195,"Il1b, G0s2, Serpinb8, Cxcl10, Il23a, Slc2a3, Tap1, Ccrl2, Ifih1, Id2, Bhlhe40, Ldlr, Il6, Pfkfb3, Maff, Tnfrsf9, Dusp4, Tnfsf9, Fos, Nr4a1, Vegfa, Ccnd1, Fjx1, Tnfaip3, Klf9, Cxcl2, Btg3, Serpinb2, Cxcl5, Per1, Hes1, Irf1, Nampt, Cdkn1a, Tnfaip8, Tgif1, Ptgs2, Slc16a6, Inhba, Trip10, Trib1, Socs3, Kdm6b, Edn1, Ccl5, Yrdc, Birc3, Cd80, Il7r, Sphk1, Ptx3, Tlr2","CombovsRibo","Combo_vs_Ribo"
