pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.7027073046143367e-4,0.004256768261535842,0.6720872097067867,1.7841021784287483,0,93,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_MYC_TARGETS_V1,1.5888147442008263e-4,0.004256768261535842,0.5747989297302099,1.6658357807431254,0,186,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_MYOGENESIS,2.7041644131963225e-4,0.0045069406886605375,-0.744065384870565,-2.2551796021695933,0,198,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_HEDGEHOG_SIGNALING,0.001257183908045977,0.011677468324867171,0.7595336873347689,1.7344666256031795,6,36,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_MYC_TARGETS_V2,0.0014012961989840604,0.011677468324867171,0.6840120075726106,1.69214567276901,7,57,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_MTORC1_SIGNALING,0.001273682534628244,0.011677468324867171,0.5238082941018359,1.5223174691181571,7,193,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_G2M_CHECKPOINT,0.0019120458891013384,0.013657470636438131,0.5227746550833079,1.5199408690674276,11,195,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_E2F_TARGETS,0.0023794416243654824,0.014871510152284266,0.5201854101046192,1.514749507305527,14,198,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.005417463352453792,0.030097018624743288,0.5086655569563062,1.4725673537602477,33,185,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_XENOBIOTIC_METABOLISM,0.03683785963968809,0.18418929819844043,-0.4408275808477842,-1.3321602925190827,136,192,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_PANCREAS_BETA_CELLS,0.07730762363863596,0.28307802562035295,0.5940095312791099,1.3749745884070732,432,39,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08492340768610589,0.28307802562035295,-0.40385581864608044,-1.2212460937760492,315,193,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_P53_PATHWAY,0.07625743645213628,0.28307802562035295,-0.40809320688793105,-1.236885218249649,281,198,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_APICAL_JUNCTION,0.07027027027027027,0.28307802562035295,-0.4109088682597126,-1.2455310311354622,259,197,,RibovsBMS,Ribo_vs_DMSO
HALLMARK_BILE_ACID_METABOLISM,0.0841352084875401,0.28307802562035295,-0.44847389867800874,-1.2719006016561538,340,111,,RibovsBMS,Ribo_vs_DMSO
