"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"1","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000170270730461434,0.00425676826153584,0.672087209706787,1.78410217842875,0,93,"Parp12, Usp18, Nmi, Ifi27, Gbp3, Parp9, Mx2, Mov10, Samd9l, Bst2, Irf9, Tap1, Herc6, Isg15, Psmb8, Ddx60, Dhx58, Ifih1, Cmpk2, B2m, Helz2, Irf7, Psmb9, Adar, Eif2ak2, Rtp4, Trim21, Pnpt1, Oasl1, Plscr1, Rnf31, Ifitm3, Cxcl10, Psme1, Ube2l6","RibovsBMS","Ribo_vs_DMSO"
"2","HALLMARK_MYC_TARGETS_V1",0.000158881474420083,0.00425676826153584,0.57479892973021,1.66583578074313,0,186,"Cdc20, Ldha, Hdgf, Mrps18b, Nhp2, Hsp90ab1, Srm, Pgk1, Pold2, Ruvbl2, Xpot, Pole3, Rad23b, C1qbp, Fbl, Snrpa, Phb2, Mcm6, Cct3, Pcbp1, Hnrnpa1, Tufm, Prpf31, Mcm2, Canx, Ccna2, Prdx3, G3bp1, Got2, Gspt1, Nap1l1, Rps5, Cdc45, Eif3d, Snrpd1, Xpo1, Hspd1, Ddx18, Sf3b3, Pa2g4, Odc1, Sf3a1, Cad, Ncbp2, Ube2e1, Cct7, Smarcc1, Hnrnpr, Rrp9, Mcm5, Ran, Vdac1, Kpnb1, Npm1, Mcm7, Mcm4, Mrpl23, Cnbp, Hnrnpc, Cdk4, Psmc4, Rrm1, Rpl18, Rpl22, Nolc1, Rpl6, Nme1, Cct5, Hnrnpa2b1, Gnl3, Snrpa1, Rps3, Bub3, Rps2, Cstf2, Hspe1, Snrpg, Tcp1, Trim28, Exosc7, Serbp1, Hnrnpd, Tardbp, Eif3b, Acp1, Cul1, Fam120a, Psma2, Psmb3, Tomm70a, Snrpd2, Clns1a, Psma6, Psma1, Eif4a1, Tyms, Rnps1, Ranbp1, Hnrnpu, Ncbp1, Rack1, Rps10, Rpl14, Nop16, Eif3j1, Cct2, Mad2l1, Ssbp1, Snrpb2, Psmd14, Uba2, Apex1, Psmd1, Cops5, Eif4g2, Mrpl9, Pwp1, Ywhae","RibovsBMS","Ribo_vs_DMSO"
"3","HALLMARK_MYOGENESIS",0.000270416441319632,0.00450694068866054,-0.744065384870565,-2.25517960216959,0,198,"Myoz1, Atp2a1, Acta1, Mylpf, Myl1, Tnni2, Des, Myh4, Tnnt3, Csrp3, Tcap, Casq1, Ckm, Pygm, Actn2, Myom1, Tpm2, Fabp3, Pgam2, Eno3, Ldb3, Fhl1, Speg, Sgcg, Actn3, Sh3bgr, Ryr1, Lama2, Myh1, Pvalb, Cacng1, Ephb3, Itgb5, Pdlim7, Dmpk, Gsn, Fxyd1, Myh3, Mb, Ckmt2, Syngr2, Igf1, Cox6a2, Mybph, Acsl1, Myog, Mapre3, Cryab, Fgf2, Agl, Myf6, Ocel1, Cacna1h, Myom2, Myh2, Col4a2, Dmd, Chrna1, Prnp, Cfd, Hrc, Myh11, Sptan1, Myl4, Klf5, Hspb8, Igfbp7, Myh8, Pkia, Nos1, Gja5, Pfkm, Psen2, Tnni1, Ptp4a3, Sgca, Ifrd1, Aplnr, Chrnb1, Casq2, Tnnc1, Rb1","RibovsBMS","Ribo_vs_DMSO"
"4","HALLMARK_HEDGEHOG_SIGNALING",0.00125718390804598,0.0116774683248672,0.759533687334769,1.73446662560318,6,36,"Hey2, Slit1, Adgrg1, Cntfr, Vldlr, Gli1, Nrcam, Cdk6, Hey1, Pml, Celsr1, Tle3, Vegfa, Nf1, Crmp1, Tle1","RibovsBMS","Ribo_vs_DMSO"
"5","HALLMARK_MYC_TARGETS_V2",0.00140129619898406,0.0116774683248672,0.684012007572611,1.69214567276901,7,57,"Hk2, Plk1, Tmem97, Utp20, Tcof1, Ppan, Mybbp1a, Srm, Pus1, Pes1, Tbrg4, Supv3l1, Rabepk, Slc19a1, Noc4l, Rrp12, Ipo4, Wdr74, Hspd1, Ddx18, Pa2g4, Mrto4, Nop2, Grwd1, Dctpp1, Rrp9, Mcm5, Npm1, Pprc1, Mcm4, Cdk4, Nolc1, Plk4, Map3k6, Nip7, Gnl3, Rcl1, Hspe1","RibovsBMS","Ribo_vs_DMSO"
"6","HALLMARK_MTORC1_SIGNALING",0.00127368253462824,0.0116774683248672,0.523808294101836,1.52231746911816,7,193,"Igfbp5, Slc2a3, Slc7a11, Bcat1, Hk2, Ak4, Asns, Bhlhe40, Vldlr, Shmt2, Phgdh, Plk1, Tmem97, Cth, Gpi1, Aurka, Fads2, Ldha, Ddit4, Psat1, Hspa9, Mllt11, Cxcr4, Cyp51, Ldlr, Stard4, Hmgcr, Tpi1, Dhcr24, Hmgcs1, Pgk1, Slc37a4, Dhcr7, Tfrc, Slc1a4, Pdk1, Slc2a1, Tm7sf2, Eef1e1, Mcm2, Canx, Gsr, Pfkl, Idi1, Mthfd2, Fdxr, Cdc25a, Rdh11, Atp2a2, Psph, Hspd1, Nup205, Egln3, Elovl6, Nampt, Ddx39a, Abcf2, P4ha1, Cct6a, Rrp9, Plod2, Trib3, Tomm40, Mcm4, Nfkbib, Psmc2, Acaca, Fads1, Ccnf, Gla, Psmc4, Psme3, Hmbs","RibovsBMS","Ribo_vs_DMSO"
"7","HALLMARK_G2M_CHECKPOINT",0.00191204588910134,0.0136574706364381,0.522774655083308,1.51994086906743,11,195,"Ccnd1, Ube2c, Hmga1b, Ccnb2, Slc7a1, Cdc25b, Racgap1, Plk1, Cenpa, Cdc20, Aurka, Espl1, Lmnb1, Tpx2, Cks2, Pml, Traip, Kif22, Tle3, Cdk1, Rad23b, Mcm6, Incenp, Troap, Slc38a1, Mcm3, Kif2c, Odf2, Cdkn1b, Tacc3, Rad21, Mcm2, Atf5, Ccna2, G3bp1, Prc1, Numa1, Gspt1, Cdc25a, Map3k20, Lig3, Chaf1a, Cdc45, Snrpd1, Xpo1, Nek2, Pttg1, Odc1, Ddx39a, Prmt5, Tmpo, Uck2, Aurkb, Sfpq, Cdkn3, Kif11, Tent4a, Smarcc1, Smc2, Mcm5, Tnpo2, Kpnb1, Top2a, Hmmr, Cdk4, Ccnf, Pbk, Ss18, Mybl2, Nolc1, Plk4, Suv39h1, Kif4, Lbr, Dkc1, Mnat1, Nusap1, Stmn1, Bub3","RibovsBMS","Ribo_vs_DMSO"
"8","HALLMARK_E2F_TARGETS",0.00237944162436548,0.0148715101522843,0.520185410104619,1.51474950730553,14,198,"Shmt1, Hmga1b, Ccnb2, Cdc25b, Racgap1, Plk1, Cdc20, Aurka, Espl1, Ncapd2, Dlgap5, Lmnb1, Cdca8, Cks2, Bub1b, Ssrp1, Pold2, Kif22, Cdk1, Tbrg4, Mcm6, Tfrc, Prps1, Ccne1, Mcm3, Kif2c, Cit, Cdkn1b, Kif18b, Tacc3, Trip13, Rad21, Mcm2, Mthfd2, Cdkn2a, Gspt1, Nup107, Pold1, Cdc25a, Nap1l1, Cbx5, Spag5, Melk, Diaph3, Tubb5, Xpo1, Nup205, Pa2g4, Pttg1, Ddx39a, Ak2, Anp32e, Tmpo, Cdca3, Aurkb, Trp53, Lig1, Cdkn3, Spc24, Dctpp1, Ubr7, Paics, Mcm5, Ran, Rfc1, Mcm7, Mre11a, Mcm4, Top2a, Hmmr, Cdk4, Snrpb, Mybl2, Phf5a, Nolc1, Plk4, Suv39h1, Nme1, Rad1, Tk1, Kif4, Wdr90, Lbr, Dclre1b, Stmn1, Mlh1, Rbbp7, Rpa2, Ube2s, Pds5b, Hnrnpd, Ilf3, Brca1, Wee1, Asf1b","RibovsBMS","Ribo_vs_DMSO"
"9","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00541746335245379,0.0300970186247433,0.508665556956306,1.47256735376025,33,185,"Xaf1, Parp12, Usp18, Nmi, Ifi27, Gbp3, Rnf213, Nlrc5, Mx2, Samd9l, Bst2, Irf9, Stat1, Tap1, Herc6, Isg15, Psmb8, Ddx60, Sspn, Dhx58, Ifih1, Cmpk2, B2m, Helz2, Irf7, Psmb9, Adar, Eif2ak2, Psmb10, Rtp4, Trim21, Pnpt1, Pml, Tnfaip3, Oasl1, Plscr1, Rnf31, Oas2, Ifitm3, Cxcl10, Psme1, Ube2l6, Il6, Zbp1, Mthfd2, Ifi35, Rbck1","RibovsBMS","Ribo_vs_DMSO"
"10","HALLMARK_XENOBIOTIC_METABOLISM",0.0368378596396881,0.18418929819844,-0.440827580847784,-1.33216029251908,136,192,"Pdk4, Cyp27a1, Cyfip2, Cyp2e1, Jup, Pts, Pdlim5, Apoe, Entpd5, Sertad1, Gclc, Igf1, Irf8, Slc46a3, Blvrb, Fmo1, Pink1, Asl, Gch1, Idh1, Nfs1, Gsto1, Dcxr, Etfdh, Man1a, Gss, Gstt2, Csad, Abcc3, Ephx1, Casp6, Ets2, Ninj1, Ndrg2, Npc1, Crot, Aldh2, Ccl25, Alas1, Ces1d, Cat, Pemt, Ssr3, Abhd6, Hacl1","RibovsBMS","Ribo_vs_DMSO"
