pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_MYC_TARGETS_V1,0.0028011204481792717,0.06226650062266501,0.5651250982205506,1.866874972512362,0,186,,Ribo,Ribo_vs_DMSO
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00267379679144385,0.06226650062266501,0.5180567888995702,1.709190917970989,0,183,,Ribo,Ribo_vs_DMSO
HALLMARK_INFLAMMATORY_RESPONSE,0.008069522036002483,0.06226650062266501,-0.7282924391218133,-1.6410627270693705,77,197,,Ribo,Ribo_vs_DMSO
HALLMARK_ALLOGRAFT_REJECTION,0.008717310087173101,0.06226650062266501,-0.7337500073862191,-1.6498089830924052,83,185,,Ribo,Ribo_vs_DMSO
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.006416226844665218,0.06226650062266501,-0.7402403223536703,-1.6665268130188622,61,193,,Ribo,Ribo_vs_DMSO
HALLMARK_MYOGENESIS,0.0053757882766463354,0.06226650062266501,-0.7449761650263719,-1.679084241731532,51,198,,Ribo,Ribo_vs_DMSO
HALLMARK_ANDROGEN_RESPONSE,0.008395007179940352,0.06226650062266501,-0.7966935390590026,-1.7353857317526782,75,95,,Ribo,Ribo_vs_DMSO
HALLMARK_KRAS_SIGNALING_UP,0.018298356249353873,0.06535127231912098,-0.6435511942373382,-1.450484887597942,176,198,,Ribo,Ribo_vs_DMSO
HALLMARK_COAGULATION,0.017118553960659224,0.06535127231912098,-0.6588809288686062,-1.4638689738118624,160,134,,Ribo,Ribo_vs_DMSO
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.014425072644250726,0.06535127231912098,-0.6856601512125856,-1.5416807706055586,138,185,,Ribo,Ribo_vs_DMSO
HALLMARK_ANGIOGENESIS,0.016555441478439424,0.06535127231912098,-0.7763071855683473,-1.5430869785723995,128,36,,Ribo,Ribo_vs_DMSO
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.014072847682119206,0.06535127231912098,-0.6852620731611502,-1.543266002538089,135,195,,Ribo,Ribo_vs_DMSO
