"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"1","HALLMARK_MYC_TARGETS_V1",0.00280112044817927,0.062266500622665,0.565125098220551,1.86687497251236,0,186,"Hsp90ab1, Pcbp1, Vdac1, Snrpa, Hddc2, Rad23b, Rpl6, Rpl22, Rps2, Phb2, Rps5, Cct2, Got2, Cct5, Snrpg, Rplp0, Odc1, Rpl18, Rack1, Psma7, Ywhaq, Cdc20, Snrpd2, Slc25a3, C1qbp, Fbl, Ywhae, Psmd3, Sf3a1, Pole3, Trim28, Erh, Ruvbl2, Sf3b3, Psmb3, Rps3, Eif3d, Eif3b, Hspe1, Ilf2, Mrpl23, Cct3, Psmc4, Prpf31, Eif4e, Cct7, Nhp2, Rps10, Rpl14, Hnrnpc, Psmb2, Txnl4a, Mrpl9, Ppia, Rnps1, Clns1a, Ldha, Prdx3, Nop16, Cyc1, Impdh2, Stard7, Cnbp, Eef1b2, Bub3, Srm, Hnrnpa2b1, Pgk1, Cdk4, Serbp1, Ddx18, Eif4g2, Hspd1, Npm1, Pold2, Ran, Ube2e1, Hdac2, Snrpa1, Xpot, Ndufab1, Gspt1, Tcp1, Lsm2, Hnrnpa3, Vdac3, Tufm, Vbp1, Rps6, Snrpb2, Nop56, Xpo1, Nme1, Cops5, Psmd8, Exosc7, Hnrnpd, Cct4, Smarcc1, Psma4, Snrpd3, Snrpd1","Ribo","Ribo_vs_DMSO"
"2","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00267379679144385,0.062266500622665,0.51805678889957,1.70919091797099,0,183,"Cox7a2l, Bckdha, Uqcr10, Atp6v1f, Vdac1, Ndufb2, Echs1, Mdh2, Ndufa7, Pdhb, Tomm22, Phb2, Atp6v1e1, Uqcr11, Slc25a12, Timm13, Got2, Suclg1, Atp6v1g1, Ldhb, Cs, AK157302, Aco2, Gpi1, Mdh1, Supv3l1, Cox6a1, Sdha, Mrps15, Slc25a3, Cox7a2, Cox4i1, Idh3b, Idh2, Mrps12, Ndufc2, Ndufb7, Uqcrfs1, Cox7c, Hsd17b10, Ndufa4, Slc25a11, Ndufa2, Hspa9, Ndufb6, Cox7b, Mfn2, Ndufs2, Ndufa8, Ndufs7, Mrpl34, Mrpl11, Pmpca, Ldha, Ndufv2, Prdx3, Rhot2, Cyc1, Timm50, Polr2f, Cox6c, Slc25a4, Ndufa5, Ndufv1, Ndufs8, Ndufa6, Ndufa1, Slc25a5, Cox8a, Ndufb3, Cox6b1, Uqcrh, Atp6v1h, Sdhd, Atp5pb, Ndufb5, Ndufab1, Cox15, Ndufs1, Acaa1a, Mrpl35, Acat1, Timm8b, Vdac3, Vdac2, Surf1, Atp6v1d, Sdhc, Ndufs6","Ribo","Ribo_vs_DMSO"
"3","HALLMARK_INFLAMMATORY_RESPONSE",0.00806952203600248,0.062266500622665,-0.728292439121813,-1.64106272706937,77,197,"Cybb, Ptger4, Cmklr1, Tnfsf10, Lyn, Tlr1, Ptpre, Il15ra, Il10ra, Pik3r5, Tnfaip6, Lpar1, Cd48, Atp2b1, Klf6, Calcrl, P2rx4, Il2rb, Dcbld2, Aplnr, Il18, Fpr1, Ifngr2, Stab1, Cd40, Scn1b, Lcp2, P2rx7, Axl, Sgms2, Icam1, Adgre1, Il10, Irak2, Hif1a, Tnfrsf1b, Gna15, Rhog, Abca1, Pcdh7, Clec5a, Ptger2, Scarf1, C3ar1, Il1r1, Ahr, Il12b, Gpr183, Slc31a2, Lif, Nfkb1, Msr1, Itgb3, Myc, F3, Ly6e, Atp2c1, Mefv, Emp3, Tlr2, Csf3r, Ifnar1, Timp1, Pdpn, Pvr, Ffar2, Eif2ak2, Cxcr6, Nod2, Tapbp, Itga5, Irf1, Chst2, Met, Tpbg","Ribo","Ribo_vs_DMSO"
"4","HALLMARK_ALLOGRAFT_REJECTION",0.0087173100871731,0.062266500622665,-0.733750007386219,-1.64980898309241,83,185,"Ly86, St8sia4, Tnf, Ccnd2, Lyn, Tlr1, Gcnt1, Ets1, Ptpn6, Ptprc, Hcls1, Irf8, Itgal, H2-DMb2, Was, Il16, Gpr65, Prkcb, Igsf6, Il2rb, Cd4, H2-Ea, Il18, Ifngr1, H2-DMa, Ifngr2, Stab1, Thy1, Cd40, Lcp2, Icam1, Elf4, Galnt1, Il10, Trat1, Hif1a, C2, Il2rg, H2-Aa, Itgb2, Ifnar2, Cd47, Cd86, Spi1, Jak2, Mmp9, Fgr, Ctss, Ccr2, Ncf4, Brca1, Ncr1, Bcl3, Cd74, Egfr, Il12b, Eif3a, Cd28, Lif, Akt1, Cfp, Ccl11, Irf4, H2-Ob","Ribo","Ribo_vs_DMSO"
"5","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00641622684466522,0.062266500622665,-0.74024032235367,-1.66652681301886,61,193,"Pdgfrb, Fbln5, Mylk, Cdh11, Ecm2, Itgb5, Snai2, Fap, Col4a2, Col4a1, Acta2, Fzd8, Col12a1, Tfpi2, Lama2, Mest, Col7a1, Dst, Fbn1, P3h1, Sat1, Fgf2, Col5a1, Col6a3, Thy1, Col6a2, Col1a1, Col16a1, Lrrc15, Col5a3, Col1a2, Thbs2, Sparc, Plod1, Col3a1, Postn, Fstl1, Col5a2, Tgfbi, Wipf1, Pcolce, Nid2, Lgals1, Igfbp4, Timp3, Nnmt, Sfrp4, Vcam1, Slit3, Tgfbr3, Calu, Fn1, Lama1, Lox, Anpep, Serpinh1, Lum, Rgs4, Prrx1, Fbn2, Lamc1, Notch2, Cxcl12, Bgn, Gja1, Bmp1, Fuca1, Dcn, Cthrc1, Adam12, Pmp22, Itgb3, Pcolce2, Glipr1, Vim, Itgb1, Efemp2, Itga2, Tgm2, Capg, Cald1, Ecm1, Plod3, Tnc, Emp3, Lamc2, Serpine2, Htra1, Timp1, Pvr, Dab2, Sgcg, Tpm2, Itga5, Sdc1, Pdlim4, Fstl3, Matn2, Colgalt1, Tgfb1, Vcan, Lama3, Fas, Slit2, Mfap5","Ribo","Ribo_vs_DMSO"
"6","HALLMARK_MYOGENESIS",0.00537578827664634,0.062266500622665,-0.744976165026372,-1.67908424173153,51,198,"Myoz1, Myh11, Igf1, Mylk, Itgb5, Col15a1, Col4a2, Fxyd1, Lama2, Myo1c, Speg, Ephb3, Syngr2, Myh9, Fgf2, Aplnr, Col6a3, Cfd, Col6a2, Pdlim7, Col1a1, Igfbp7, Cacna1h, Gsn, Sparc, Col3a1, Gpx3, Acsl1, Wwtr1, Notch1, Sorbs3, Cd36, Ptp4a3, Smtn, Adcy9, Dmpk, Kifc3, Sod3","Ribo","Ribo_vs_DMSO"
"7","HALLMARK_ANDROGEN_RESPONSE",0.00839500717994035,0.062266500622665,-0.796693539059003,-1.73538573175268,75,95,"Krt8, Mertk, Hpgd, Gucy1a1, Inpp4b, Abcc4, Sat1, Slc26a2, Selenop, Ptk2b, Maf, Fkbp5","Ribo","Ribo_vs_DMSO"
"8","HALLMARK_KRAS_SIGNALING_UP",0.0182983562493539,0.065351272319121,-0.643551194237338,-1.45048488759794,176,198,"Cmklr1, Adgrl4, Rbp4, Csf2ra, Ccnd2, Pecam1, Ets1, Tmem176a, Tmem100, Il10ra, Eng, Irf8, Gucy1a1, Nrp1, Zfp277, Clec4a3, Ikzf1, Plvap, Tlr8, Birc3, Dcbld2, Spon1, Hsd11b1, Scn1b, Dock2, Nin, Mafb, Vwa5a, Klf4, Adamdec1, Ano1, Gng11, Tnfrsf1b, Il2rg, Gypc, Laptm5, Retn, Itgb2, Flt4, Bmp2, Mmp9, Lcp1, Adgra2, Adam17, Cab39l, Ctss, Cd37, Plat, Lat2, C3ar1, Prrx1, Fcer1g, Cfh, Sema3b, Fuca1, Lif, Cbl, F13a1, Il1rl2, Mmd, Tfpi, Itga2, Mtmr10, F2rl1, Gadd45g, Trib1, Ank, Ngf, Tmem158, Fbxo4, Rabgap1l, Gpnmb, Jup, Ace, Ammecr1, Prdm1, Plau, Emp1, Gabra3, Usp12","Ribo","Ribo_vs_DMSO"
"9","HALLMARK_COAGULATION",0.0171185539606592,0.065351272319121,-0.658880928868606,-1.46386897381186,160,134,"Pecam1, Ctso, Tfpi2, Hmgcs2, Fbn1, S100a13, Cfd, Trf, Pros1, Gsn, Sparc, C2, Ang, Ctsh, Timp3, C1qa, Mmp9, Adam9, Fn1, Vwf, Plat, Pdgfb, Cfh, Mmp8, Crip2, Ctsk, Bmp1, Anxa1, Serping1, Ctse, Itgb3, Lgmn, Gda, F3, Lamp2, Cpq, Ctsb, Itga2, Plek, S100a1, Htra1, Timp1, Capn2, C3, Sh2b2, Proz, Plau, Dpp4, Wdr1, Thbd, Apoc1, Hpn, Cfb, Ctsl, Prss23, Dusp6, C1s1, Mmp11, Mmp14, Pf4, Mmp2, Rapgef3, Lrp1, A2m, Olr1, Iscu, Mmp3, Serpine1","Ribo","Ribo_vs_DMSO"
"10","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0144250726442507,0.065351272319121,-0.685660151212586,-1.54168077060556,138,185,"Cmklr1, St8sia4, Tnfsf10, Il15ra, Il10ra, Ptpn6, Irf8, Tnfaip6, Apol6, Vamp5, Marchf1, Casp1, Sppl2a, Gpr18, Il2rb, Fpr1, H2-DMa, Ciita, Cd40, Ncoa3, Lcp2, Ripk1, Cd38, Txnip, Nod1, Icam1, Epsti1, Pnp, Samhd1, Hif1a, Casp7, Pla2g4a, Slamf7, Myd88, H2-Aa, Trim25, Ifnar2, Mvp, Cd86, Vcam1, Jak2, Casp8, Bank1, Rapgef6, Ifi30, Tnfaip2, Cd74, Cfh, Itgb7, Irf5, Ptpn1, Serping1, Ifi44l, Vamp8, Casp4, Nfkb1, Pfkp, Ly6e, Znfx1, Irf4, Pim1, Isg20, Eif4e3, Ifi44, Lgals3bp, Trim14, Socs1, Trafd1, Eif2ak2, P2ry14, Tapbp, Parp14, Irf1, Ifit2, Casp3, Ube2l6, Psmb10, Fas, Il4ra, Dhx58, Tor1b, Arid5b, Batf2, Ptpn2, Cfb, Gch1, Plscr1, Helz2, Cdkn1a, Zbp1","Ribo","Ribo_vs_DMSO"
